nb_cons,nb_prod,nb threads,Mesure i,time
27,26,2,2,0:00.19
27,26,2,3,0:00.19
27,26,2,4,0:00.19
27,26,2,5,0:00.19
27,27,2,1,0:00.19
27,27,2,2,0:00.19
27,27,2,3,0:00.20
27,27,2,4,0:00.19
27,27,2,5,0:00.19
28,27,2,1,0:00.19
28,27,2,2,0:00.19
28,27,2,3,0:00.19
28,27,2,4,0:00.18
28,27,2,5,0:00.20
28,28,2,1,0:00.19
28,28,2,2,0:00.19
28,28,2,3,0:00.19
28,28,2,4,0:00.19
28,28,2,5,0:00.20
29,28,2,1,0:00.19
29,28,2,2,0:00.19
29,28,2,3,0:00.19
29,28,2,4,0:00.19
29,28,2,5,0:00.19
29,29,2,1,0:00.19
29,29,2,2,0:00.19
29,29,2,3,0:00.16
29,29,2,4,0:00.20
29,29,2,5,0:00.19
30,29,2,1,0:00.20
30,29,2,2,0:00.20
30,29,2,3,0:00.19
30,29,2,4,0:00.20
30,29,2,5,0:00.19
30,30,2,1,0:00.19
30,30,2,2,0:00.19
30,30,2,3,0:00.18
30,30,2,4,0:00.19
30,30,2,5,0:00.19
31,30,2,1,0:00.18
31,30,2,2,0:00.19
31,30,2,3,0:00.19
31,30,2,4,0:00.19
31,30,2,5,0:00.19
31,31,2,1,0:00.19
31,31,2,2,0:00.19
31,31,2,3,0:00.19
31,31,2,4,0:00.19
31,31,2,5,0:00.19
32,31,2,1,0:00.19
32,31,2,2,0:00.19
32,31,2,3,0:00.18
32,31,2,4,0:00.19
32,31,2,5,0:00.19
32,32,2,1,0:00.19
32,32,2,2,0:00.20
32,32,2,3,0:00.19
32,32,2,4,0:00.19
32,32,2,5,0:00.18
1,1,4,1,0:00.28
1,1,4,2,0:00.27
1,1,4,3,0:00.28
1,1,4,4,0:00.27
1,1,4,5,0:00.27
2,1,4,1,0:00.33
2,1,4,2,0:00.31
2,1,4,3,0:00.31
2,1,4,4,0:00.45
2,1,4,5,0:00.31
2,2,4,1,0:00.18
2,2,4,2,0:00.16
2,2,4,3,0:00.14
2,2,4,4,0:00.19
2,2,4,5,0:00.16
3,2,4,1,0:00.18
3,2,4,2,0:00.28
3,2,4,3,0:00.23
3,2,4,4,0:00.28
3,2,4,5,0:00.27
3,3,4,1,0:00.17
3,3,4,2,0:00.17
3,3,4,3,0:00.19
3,3,4,4,0:00.22
3,3,4,5,0:00.21
4,3,4,1,0:00.20
4,3,4,2,0:00.21
4,3,4,3,0:00.21
4,3,4,4,0:00.20
4,3,4,5,0:00.19
4,4,4,1,0:00.19
4,4,4,2,0:00.16
4,4,4,3,0:00.18
4,4,4,4,0:00.16
4,4,4,5,0:00.19
5,4,4,1,0:00.21
5,4,4,2,0:00.20
5,4,4,3,0:00.20
5,4,4,4,0:00.18
5,4,4,5,0:00.21
5,5,4,1,0:00.21
5,5,4,2,0:00.19
5,5,4,3,0:00.19
5,5,4,4,0:00.18
5,5,4,5,0:00.19
6,5,4,1,0:00.21
6,5,4,2,0:00.19
6,5,4,3,0:00.20
6,5,4,4,0:00.20
6,5,4,5,0:00.20
6,6,4,1,0:00.19
6,6,4,2,0:00.17
6,6,4,3,0:00.18
6,6,4,4,0:00.19
6,6,4,5,0:00.16
7,6,4,1,0:00.19
7,6,4,2,0:00.20
7,6,4,3,0:00.19
7,6,4,4,0:00.20
7,6,4,5,0:00.18
7,7,4,1,0:00.18
7,7,4,2,0:00.18
7,7,4,3,0:00.18
7,7,4,4,0:00.17
7,7,4,5,0:00.17
8,7,4,1,0:00.20
8,7,4,2,0:00.18
8,7,4,3,0:00.19
8,7,4,4,0:00.19
8,7,4,5,0:00.21
8,8,4,1,0:00.17
8,8,4,2,0:00.21
8,8,4,3,0:00.18
8,8,4,4,0:00.17
8,8,4,5,0:00.19
9,8,4,1,0:00.20
9,8,4,2,0:00.19
9,8,4,3,0:00.20
9,8,4,4,0:00.20
9,8,4,5,0:00.19
9,9,4,1,0:00.19
9,9,4,2,0:00.20
9,9,4,3,0:00.19
9,9,4,4,0:00.20
9,9,4,5,0:00.19
10,9,4,1,0:00.21
10,9,4,2,0:00.37
10,9,4,3,0:00.24
10,9,4,4,0:00.21
